mean	sd	count
AKL_HTLV1_INFECTION_UP	0.18	0.24	24
BIOCARTA_MCM_PATHWAY	0.09	0.07	12
BIOCARTA_RANMS_PATHWAY	0.16	0.24	9
BROWNE_INTERFERON_RESPONSIVE_GENES	0.18	0.25	62
BUDHU_LIVER_CANCER_METASTASIS_UP	0.18	0.21	10
CALCIUM_MEDIATED_SIGNALING	0.14	0.10	12
COFACTOR_TRANSPORTER_ACTIVITY	0.18	0.22	8
COURTOIS_SENESCENCE_TRIGGERS	0.15	0.11	6
CROONQUIST_NRAS_SIGNALING_DN	0.19	0.15	71
DER_IFN_ALPHA_RESPONSE_DN	0.32	0.18	4
EGUCHI_CELL_CYCLE_RB1_TARGETS	0.15	0.12	22
FARMER_BREAST_CANCER_CLUSTER_8	0.13	0.12	4
FINETTI_BREAST_CANCER_KINOME_RED	0.15	0.10	14
GCM_PPM1D	0.16	0.18	16
GLINSKY_CANCER_DEATH_UP	0.18	0.23	7
GNF2_BUB1	0.15	0.12	26
GNF2_BUB1B	0.16	0.14	47
GNF2_CCNA2	0.15	0.13	62
GNF2_CCNB2	0.16	0.14	53
GNF2_CDC2	0.15	0.13	54
GNF2_CDC20	0.17	0.16	52
GNF2_CENPE	0.15	0.14	37
GNF2_CENPF	0.16	0.16	56
GNF2_CKS2	0.19	0.19	47
GNF2_CYP2B6	0.35	0.29	48
GNF2_ESPL1	0.14	0.10	35
GNF2_FEN1	0.19	0.19	50
GNF2_H2AFX	0.17	0.13	27
GNF2_HMMR	0.16	0.13	44
GNF2_MCM4	0.16	0.14	51
GNF2_MKI67	0.13	0.10	24
GNF2_MSH2	0.19	0.13	27
GNF2_PCNA	0.16	0.15	62
GNF2_RRM2	0.14	0.10	37
GNF2_TTK	0.16	0.15	36
GRAHAM_CML_QUIESCENT_VS_CML_DIVIDING_DN	0.15	0.16	10
GROWTH_CONE	0.16	0.13	8
GUTIERREZ_WALDENSTROEMS_MACROGLOBULINEMIA_2	0.19	0.22	10
HETEROGENEOUS_NUCLEAR_RIBONUCLEOPROTEIN_COMPLEX	0.08	0.07	9
IWANAGA_E2F1_TARGETS_NOT_INDUCED_BY_SERUM	0.18	0.24	4
KANG_DOXORUBICIN_RESISTANCE_UP	0.18	0.17	48
KARAKAS_TGFB1_SIGNALING	0.24	0.18	17
KASLER_HDAC7_TARGETS_2_UP	0.17	0.15	5
KUMAMOTO_RESPONSE_TO_NUTLIN_3A_DN	0.18	0.18	10
LIANG_SILENCED_BY_METHYLATION_DN	0.19	0.24	10
LUDWICZEK_TREATING_IRON_OVERLOAD	0.12	0.17	5
MIKKELSEN_NPC_ICP_WITH_H3K27ME3	0.32	0.18	6
MITOTIC_SPINDLE_ORGANIZATION_AND_BIOGENESIS	0.15	0.26	8
MODULE_143	0.09	0.12	12
MODULE_293	0.10	0.12	10
MODULE_315	0.16	0.15	16
MODULE_457	0.18	0.15	9
MODULE_543	0.11	0.13	13
MONTERO_THYROID_CANCER_POOR_SURVIVAL_UP	0.17	0.10	10
MOSERLE_IFNA_RESPONSE	0.16	0.27	24
NAISHIRO_CTNNB1_TARGETS_WITH_LEF1_MOTIF	0.19	0.15	7
NIKOLSKY_BREAST_CANCER_10Q22_AMPLICON	0.15	0.32	5
NOUSHMEHR_GBM_SILENCED_BY_METHYLATION	0.15	0.24	33
NUCLEAR_CHROMATIN	0.17	0.26	11
ODONNELL_TARGETS_OF_MYC_AND_TFRC_DN	0.18	0.14	33
OHASHI_AURKA_TARGETS	0.15	0.08	4
OHASHI_AURKB_TARGETS	0.17	0.09	8
OXFORD_RALA_OR_RALB_TARGETS_UP	0.19	0.22	43
PARK_OSTEOBLAST_DIFFERENTIATION_BY_PHENYLAMIL_DN	0.15	0.17	5
PID_P38GAMMADELTAPATHWAY	0.18	0.22	10
PROTEIN_EXPORT_FROM_NUCLEUS	0.14	0.08	7
RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_MAPK1_DN	0.14	0.17	8
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	0.18	0.20	21
REACTOME_ASSOCIATION_OF_LICENSING_FACTORS_WITH_THE_PRE_REPLICATIVE_COMPLEX	0.16	0.18	8
REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX	0.11	0.07	4
REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY	0.09	0.07	8
REACTOME_KINESINS	0.18	0.28	18
REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK	0.11	0.12	5
REACTOME_REGULATION_OF_INSULIN_SECRETION_BY_ACETYLCHOLINE	0.17	0.16	8
REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY	0.19	0.22	11
SANCHEZ_MDM2_TARGETS	0.19	0.24	12
SIMBULAN_PARP1_TARGETS_DN	0.16	0.13	17
SPINDLE_ORGANIZATION_AND_BIOGENESIS	0.16	0.25	9
SULFUR_COMPOUND_BIOSYNTHETIC_PROCESS	0.19	0.25	13
SYNAPTOGENESIS	0.32	0.19	7
UROSEVIC_RESPONSE_TO_IMIQUIMOD	0.14	0.21	21
VERHAAK_GLIOBLASTOMA_PRONEURAL	0.08	0.12	188
WHITESIDE_CISPLATIN_RESISTANCE_UP	0.18	0.21	11
WONG_IFNA2_RESISTANCE_UP	0.17	0.17	14
YANG_MUC2_TARGETS_COLON_3MO_DN	0.58	0.18	5
ZERBINI_RESPONSE_TO_SULINDAC_DN	0.15	0.11	5
ZERBINI_RESPONSE_TO_SULINDAC_UP	0.17	0.16	9
ZHAN_EARLY_DIFFERENTIATION_GENES_UP	0.13	0.10	5
ZHENG_FOXP3_TARGETS_IN_THYMUS_DN	0.18	0.19	8
chr10p13	0.17	0.22	14
chr15q	0.19	0.22	7
chr3q	0.15	0.15	6
chr6q26	0.18	0.11	9
chrxq11	0.15	0.15	6
