x	y
TCGA.E1.5319	1.17509024120535e-05	-1.09197031060242e-05
TCGA.HT.7693	6.33918563994448e-06	9.38772888360106e-06
TCGA.CS.6665	-6.89483787076126e-07	1.05318292290986e-05
TCGA.S9.A7J2	1.05656094721425e-05	-1.09666436717088e-05
TCGA.FG.A6J3	4.67793387020401e-06	5.9302193280585e-06
TCGA.FG.6688	-9.50411268221102e-06	-1.91781170583211e-06
TCGA.S9.A6TX	1.07028657177805e-05	-1.32060649720174e-05
TCGA.HT.A74L	5.35235803907311e-06	-6.42596905541769e-06
TCGA.DU.A5TS	1.28302068574571e-05	4.32096139173775e-06
TCGA.DB.A4XA	1.16853565294147e-05	-9.94140101305754e-06
TCGA.HT.A4DV	1.13586196689634e-05	-1.01941142665363e-05
TCGA.TQ.A7RP	-1.42715663770751e-05	-2.88760797542776e-06
TCGA.E1.5311	9.90434717129334e-06	-1.14025589941759e-05
TCGA.E1.A7YI	6.03150703059465e-06	9.30876838029788e-06
TCGA.E1.5305	1.06546408828079e-05	7.38331498019811e-06
TCGA.HT.8113	2.73978848861641e-06	-8.54452667358981e-06
TCGA.DH.A66G	8.25293302551688e-06	8.96200555613115e-06
TCGA.HT.7620	1.05973099354717e-05	-9.14993405882673e-06
TCGA.P5.A731	6.41225868418593e-06	-4.43305433898199e-06
TCGA.HT.7480	1.13442418056451e-05	-1.17708070036874e-05
TCGA.HT.7689	8.07185546450383e-06	9.63273307903545e-06
TCGA.HT.8109	1.09292553441207e-05	-7.90887040087587e-06
TCGA.E1.A7YE	9.26705291352897e-06	8.72359376948135e-06
TCGA.S9.A7R1	5.18757958934867e-06	-7.30114889929215e-06
TCGA.FG.A710	1.13071554915231e-05	-1.34145985016235e-05
TCGA.S9.A7J0	7.0696335949627e-07	6.08209619491483e-06
TCGA.DU.A6S6	7.2112607941095e-06	-7.08451957992016e-06
TCGA.DU.6392	-3.28917968552847e-06	2.96454361797727e-06
TCGA.QH.A6CU	6.78440741209734e-06	-6.73280543700353e-06
TCGA.HW.7486	9.73288620761294e-06	-7.23742586537931e-06
TCGA.FG.7634	6.47257796324786e-06	-1.18869651718656e-05
TCGA.DU.6407	3.14804790652491e-06	9.48542429889722e-06
TCGA.S9.A7IX	-1.143753357694e-05	-2.67514901410345e-06
TCGA.HT.8010	9.1944101028418e-06	-7.59947983818297e-06
TCGA.P5.A5F1	6.80416797197351e-06	9.55098372127144e-06
TCGA.DU.6542	8.40334223532733e-06	4.60127056258302e-06
TCGA.FG.7638	1.34822277317169e-05	-8.3022795773545e-06
TCGA.DH.5143	6.61142030945997e-06	4.77319538806367e-06
TCGA.DU.7299	6.79083734564584e-06	4.65156393751355e-06
TCGA.DU.7013	-5.59195007345822e-06	3.87256407781622e-06
TCGA.DU.7011	4.74255861194604e-06	8.37801670697328e-06
TCGA.DB.5281	8.70716251924742e-06	7.91350900401857e-06
TCGA.S9.A6WI	1.09190842114053e-05	-6.93844164290888e-06
TCGA.HT.7605	8.72956837786461e-06	-8.49710668502063e-06
TCGA.E1.A7YK	1.35203395369716e-05	9.29308310097469e-06
TCGA.S9.A6WQ	1.06345918478024e-05	6.32808637976256e-06
TCGA.HT.8106	8.74439136834571e-06	7.09268480323191e-06
TCGA.HT.7608	1.0316829297954e-05	-1.28387240527158e-05
TCGA.E1.A7YU	7.91129764991235e-06	4.98331473200742e-06
TCGA.TM.A7C5	1.19310730791581e-05	-1.07430732280134e-05
TCGA.S9.A7QY	3.58762180381459e-06	-9.51880368779211e-06
TCGA.QH.A6CW	1.00446945963379e-05	8.89314704729688e-06
TCGA.S9.A6WO	6.20626037038614e-06	9.26060994155746e-06
