x	y
TCGA.OL.A66H.01	-1.71158545806353e-07	7.92467834672846e-06
TCGA.AR.A1AH.01	2.06261157901172e-05	-6.40056644362817e-06
TCGA.AC.A5EH.01	5.75885952912153e-07	-2.24972262274602e-05
TCGA.EW.A2FW.01	-2.94828181722584e-06	1.40806884764735e-05
TCGA.E9.A1R0.01	-1.38755983033842e-05	-7.75733094574963e-06
TCGA.BH.A0BL.01	1.9100194080215e-05	-4.74510355488545e-06
TCGA.AR.A1AJ.01	1.98173128085919e-05	-5.05443507457377e-06
TCGA.A7.A13G.01	-1.27928614589872e-06	8.95862504987098e-06
TCGA.AC.A62Y.01	1.0709331455845e-06	5.97974228132806e-06
TCGA.E9.A1QZ.01	-8.4731115145833e-07	1.08147537885824e-05
TCGA.E9.A1R2.01	8.75905781741177e-07	1.00750103542517e-05
TCGA.GM.A2DK.01	-2.6675595757048e-07	1.0685095864179e-05
TCGA.AR.A255.01	-1.47183986685786e-05	-7.60550856048237e-06
TCGA.E2.A10B.01	-1.44597350641401e-05	-6.72575371711525e-06
TCGA.C8.A1HL.01	-2.66007778166235e-06	1.41057737872115e-05
TCGA.D8.A1JD.01	-1.45574381209538e-05	-7.58195516505693e-06
TCGA.D8.A1XA.01	1.17485134696534e-05	-1.73811003219921e-06
TCGA.A8.A08L.01	-7.21006840725847e-06	-9.86241878977082e-06
TCGA.A8.A0A6.01	-1.85883984333229e-05	-1.18698740945959e-05
TCGA.AR.A1AI.01	2.09572392171149e-05	-6.13762077600488e-06
TCGA.A7.A3RF.01	1.37753392187779e-05	-3.70998905144473e-06
TCGA.A7.A3IY.01	-5.87446499552913e-07	9.88184177071059e-06
TCGA.B6.A0IE.01	6.32535971730573e-06	-2.04249218910349e-05
TCGA.GM.A2D9.01	-1.43920917398983e-05	-8.68132470563831e-06
TCGA.D8.A3Z5.01	-4.93726380621479e-06	8.5600351323367e-06
TCGA.E9.A1ND.01	1.91184715289879e-05	-5.15893431599357e-06
TCGA.AN.A03X.01	-1.46423160598781e-05	-7.4518951173728e-06
TCGA.AQ.A04J.01	2.01324596224945e-05	-4.64605032478411e-06
TCGA.E9.A1RD.01	-1.65572993752195e-05	-7.23300199070327e-06
TCGA.E9.A1NA.01	-2.07566628787388e-06	1.41813691878345e-05
TCGA.AO.A0J8.01	-6.3001240996542e-06	8.92957137704155e-06
TCGA.BH.A1FN.01	1.74192480553603e-05	-3.26767431967526e-06
TCGA.BH.A0DZ.01	1.11966904454297e-05	-2.42350619384867e-06
TCGA.EW.A1PD.01	9.06609490919584e-07	9.51659226413836e-06
TCGA.A2.A0T3.01	-3.35604519065279e-07	1.04659136454513e-05
TCGA.E9.A1N5.01	9.00052804609485e-07	-1.83810739028236e-05
TCGA.A8.A07B.01	-1.58193406680592e-05	-8.68577962616144e-06
TCGA.D8.A1J8.01	-1.67053085666086e-05	-7.64524818031003e-06
TCGA.E2.A15R.01	-1.02859798896823e-06	1.02173725700946e-05
TCGA.E9.A3QA.01	4.86219794072809e-06	6.9349411260292e-06
TCGA.A7.A0CE.01	1.69254124222822e-05	-3.62909690608403e-06
TCGA.A7.A0CG.01	-1.22547347190767e-05	-9.275810935398e-06
TCGA.A2.A3XX.01	1.93325520567399e-05	-3.50828304310824e-06
TCGA.A2.A0YL.01	-1.12512841877807e-05	-8.28531066888251e-06
TCGA.BH.A0EB.01	-1.59465356803322e-05	-6.65591744647393e-06
TCGA.A2.A0YC.01	-1.3763151179226e-05	-6.86939382053927e-06
TCGA.E9.A3X8.01	-5.45198569266869e-06	6.3729977264327e-06
TCGA.E2.A3DX.01	-2.01096535611788e-08	9.08321803710794e-06
TCGA.AR.A24N.01	-2.69900285546393e-06	1.2113479058155e-05
TCGA.A8.A09A.01	2.17865547817362e-06	9.12515959547297e-06
TCGA.E2.A1B0.01	1.73471354104731e-05	-3.25491387239881e-06
TCGA.EW.A1IW.01	-1.31308711278786e-05	-7.61681610983087e-06
TCGA.A2.A0CQ.01	-2.02512339716794e-06	9.39097023618978e-06
TCGA.GM.A2DN.01	-3.06447104989408e-06	1.28474636886985e-05
TCGA.E2.A152.01	1.22962872567198e-05	-2.10259744989284e-06
TCGA.AO.A03M.01	-8.98726570710703e-06	-1.12534396522527e-05
TCGA.A2.A3XT.01	2.12994313671329e-05	-4.93837264960008e-06
TCGA.A7.A4SE.01	1.87373672983931e-05	-4.57685488119386e-06
TCGA.BH.A0DT.01	-1.54708238798501e-05	-3.09478338806085e-06
TCGA.A1.A0SJ.01	-4.46617032503053e-07	1.06469759100806e-05
TCGA.AR.A2LJ.01	-1.59189610237974e-05	-7.52663306972878e-06
TCGA.D8.A1X5.01	1.44518571941446e-05	-4.25134161256612e-06
TCGA.B6.A1KI.01	-1.75563575462898e-05	-6.83762313681e-06
TCGA.B6.A0IQ.01	1.98544069685396e-05	-6.54953060403386e-06
TCGA.BH.A0BC.01	3.69462613002739e-06	-1.89895008665797e-05
TCGA.BH.A1EW.01	-1.36942501664814e-06	1.0644641078511e-05
TCGA.B6.A0X4.01	-2.75716544778516e-06	1.17616289217017e-05
TCGA.AR.A0TS.01	1.88665841502381e-05	-3.69671054350334e-06
TCGA.A2.A1G1.01	1.80913467672159e-05	-6.58004903294781e-06
TCGA.AO.A03T.01	3.69328064771678e-07	8.40584005251452e-06
TCGA.D8.A27P.01	-1.27112910552992e-05	-9.01268309368167e-06
TCGA.EW.A2FS.01	1.85618609286393e-07	1.10665752166756e-05
TCGA.E2.A1IL.01	-1.33456262430147e-05	-7.22034674761525e-06
TCGA.A7.A3IZ.01	-5.05196471291342e-06	8.85879548644358e-06
TCGA.A2.A0CM.01	1.98883659270002e-05	-4.6807911304321e-06
TCGA.AN.A04C.01	-1.05374869427194e-05	-8.48067024375888e-06
TCGA.OL.A66J.01	3.67195530329916e-07	8.809473350806e-06
TCGA.AR.A2LO.01	-5.7963634724663e-07	8.73335200624541e-06
TCGA.BH.A1FG.01	-1.52135970596853e-06	1.00032046609079e-05
TCGA.A2.A04W.01	7.50139618365483e-06	-2.02772680758091e-05
TCGA.LL.A5YM.01	-6.49348334422986e-07	1.06205020725021e-05
TCGA.BH.A0BO.01	-1.32391184051357e-05	-7.58328971684382e-06
TCGA.A2.A0T2.01	1.76285214792201e-05	-3.0737995090168e-06
TCGA.A8.A06X.01	3.25639219756258e-07	8.32517786958496e-06
TCGA.D8.A143.01	-9.00245979309146e-06	-8.55125616054827e-06
TCGA.C8.A134.01	1.97830564576187e-05	-4.22456124086145e-06
TCGA.A2.A0D2.01	3.75418844320293e-06	9.35505499466331e-06
TCGA.EW.A1P0.01	-1.30487565169655e-05	-6.85442382438995e-06
TCGA.A2.A4RW.01	3.2962544816049e-06	7.52250686149764e-06
TCGA.A2.A1G0.01	-1.77381900511e-05	-6.10659384731875e-06
TCGA.AR.A24H.01	-3.7457030793692e-07	1.09281856931334e-05
TCGA.E2.A153.01	-1.54141710496516e-05	-5.94263122277727e-06
TCGA.A8.A09B.01	-6.46515681300562e-06	1.15741233049245e-05
TCGA.D8.A13Y.01	1.35525988468011e-06	8.7330713116887e-06
TCGA.D8.A1JB.01	9.38262256445971e-07	1.00895983902636e-05
TCGA.C8.A12Y.01	-1.14094251282219e-05	-8.67514527730301e-06
TCGA.A8.A07L.01	3.46002122278453e-07	9.21672579505321e-06
TCGA.A2.A4S2.01	-1.9132060200587e-05	-7.97364745648756e-06
TCGA.A2.A0YT.01	6.86469663506851e-07	-1.82226646318386e-05
TCGA.BH.A0B5.01	-1.46520384911195e-05	-8.67931380685366e-06
TCGA.D8.A1JI.01	-1.69728312915137e-06	1.013094878848e-05
TCGA.E2.A15P.01	-1.24317901193499e-05	-7.6627475879646e-06
TCGA.A8.A06T.01	-1.82685944464846e-06	1.37194730828204e-05
TCGA.OL.A5RX.01	-1.49833031904936e-05	-4.93372331725751e-06
TCGA.E9.A1R6.01	-7.94975133787659e-06	1.18914345148103e-05
TCGA.A2.A0EY.01	5.21546183492188e-06	-2.18897881014737e-05
TCGA.D8.A1XZ.01	1.71985487912849e-05	-3.35807398893866e-06
TCGA.B6.A0IJ.01	2.09206199466492e-05	-6.74381727714594e-06
TCGA.BH.A0H3.01	-1.48834658503767e-05	-3.65796559823434e-06
TCGA.EW.A1OY.01	9.93087834853797e-06	-1.65806101703585e-06
TCGA.A8.A08X.01	1.73112078818586e-05	-4.64549511832094e-06
TCGA.B6.A0RP.01	-1.61440453292789e-06	6.48711616342245e-06
TCGA.A1.A0SQ.01	-6.02760514123416e-07	1.33331318668933e-05
TCGA.AR.A5QM.01	-1.81317710634599e-05	-7.52247240209085e-06
TCGA.A2.A0SW.01	1.5511241781203e-05	-2.93407197524946e-06
TCGA.C8.A1HN.01	-8.230470486086e-07	1.4317305372848e-05
TCGA.PE.A5DE.01	-2.33089907561211e-06	-2.1138937123881e-05
TCGA.BH.A18N.01	-8.61388698267853e-06	1.11414847106907e-05
TCGA.B6.A0RO.01	-1.39659956707604e-05	-8.00660539291083e-06
TCGA.AC.A23H.01	-1.37034971563714e-05	-1.23204483505229e-05
TCGA.AC.A2BM.01	-3.05916640214054e-07	8.97477858451586e-06
TCGA.BH.A0WA.01	2.04778348625192e-05	-4.22035948088202e-06
TCGA.BH.A42T.01	-1.3884504760502e-05	-6.33416902571174e-06
TCGA.B6.A40C.01	-6.60437863080809e-06	1.27984330337223e-05
TCGA.E2.A15K.01	-1.32093417994756e-05	-8.18065541757413e-06
TCGA.BH.A0EA.01	-1.39414624517108e-05	-3.40520706436467e-06
TCGA.A2.A1FZ.01	-1.09266600393934e-05	-8.67642601941024e-06
TCGA.C8.A12Q.01	1.70860745875803e-05	-2.56973353349385e-06
TCGA.A7.A26H.01	-1.21208576084463e-05	-9.23060546949492e-06
TCGA.BH.A0BA.01	-2.04595880097792e-05	-7.89109243617568e-06
TCGA.A8.A09N.01	-1.93039904013417e-06	7.91849097099447e-06
TCGA.E2.A2P6.01	-5.12960021612839e-06	8.7089217022271e-06
TCGA.B6.A0RT.01	1.37306465398046e-06	8.80638022218136e-06
TCGA.A2.A25C.01	-1.31108916452241e-05	-7.61303629175317e-06
TCGA.AN.A0XS.01	-1.66311554319242e-05	-7.98862150123529e-06
TCGA.OL.A5DA.01	-1.48157521552109e-05	-8.0737063405804e-06
TCGA.E2.A15A.01	2.61908741733475e-06	9.54260380005804e-06
TCGA.A7.A5ZV.01	1.87993570655569e-05	-3.45425418547887e-06
TCGA.LL.A50Y.01	-1.75138306747395e-05	-9.29157708780295e-06
TCGA.B6.A0WX.01	1.83534409110953e-05	-3.94434022781571e-06
TCGA.BH.A1EN.01	2.84910739125145e-06	7.54583360806687e-06
TCGA.C8.A26Z.01	-2.16170056063584e-06	1.09945722831013e-05
TCGA.D8.A27G.01	-1.61155767230596e-05	-1.13625833244377e-05
TCGA.E2.A14Y.01	4.77824573113371e-06	-1.87790062045789e-05
TCGA.A8.A08R.01	7.30956470575724e-06	-1.90046589212789e-05
TCGA.BH.A0E0.01	2.13303728705034e-05	-6.84817629621957e-06
TCGA.AN.A0XV.01	-9.65579250756343e-08	8.03782899787893e-06
TCGA.OL.A5D6.01	2.99971168500477e-06	-1.99512529844211e-05
TCGA.D8.A1XV.01	-2.11637517897771e-06	9.56978923510168e-06
TCGA.A2.A4S3.01	1.51769010507187e-05	-2.72666307223644e-06
TCGA.E2.A15G.01	-1.73333526207447e-05	-7.34673170808159e-06
