x	y
TCGA.02.0003	-9.06507460287786e-06	-4.95114773015989e-06
TCGA.02.0033	-3.24026308058617e-05	4.61391319292149e-06
TCGA.02.0047	-1.46118546966187e-05	-1.69111906298854e-05
TCGA.02.0055	-3.68096763463189e-05	3.32575668646699e-05
TCGA.02.2470	3.16431779883407e-07	5.87082860339358e-06
TCGA.02.2483	-4.23449492992107e-05	-1.90624068939988e-05
TCGA.02.2485	6.63137283381907e-06	-1.80270729910745e-05
TCGA.02.2486	-3.30289560212813e-06	-1.61269119545213e-05
TCGA.06.0119	3.03053481887934e-05	2.38536156781245e-06
TCGA.06.0122	3.54104565230526e-05	-8.09840706533629e-06
TCGA.06.0124	1.20360841956942e-05	2.19969375820192e-05
TCGA.06.0126	3.17878671101278e-05	-6.74183182757943e-06
TCGA.06.0128	-2.64982402409284e-05	-9.96005089325213e-06
TCGA.06.0129	-4.43902696978821e-05	-2.24712348283942e-05
TCGA.06.0130	-1.80478729818889e-05	2.1505466121296e-05
TCGA.06.0132	-3.43685955524832e-06	-1.66181538743209e-05
TCGA.06.0137	3.82940894566813e-05	-1.48548639134067e-05
TCGA.06.0139	-3.21020882779555e-06	-1.42674336251464e-05
TCGA.06.0140	-1.12466277951527e-05	2.09507177776961e-06
TCGA.06.0141	-1.04941700550228e-05	-3.26484770434917e-05
TCGA.06.0142	9.08018578753804e-06	-1.74323320932536e-05
TCGA.06.0145	2.51991824326187e-05	8.47614289889528e-06
TCGA.06.0151	5.27924240189566e-05	-6.32052231238951e-06
TCGA.06.0152	-2.91641813444807e-06	-2.1829746845647e-05
TCGA.06.0154	2.26912399863908e-05	-1.91738981081035e-05
TCGA.06.0155	2.87321636552651e-05	2.84844562925205e-05
TCGA.06.0157	3.26997108444483e-05	3.39030069211407e-05
TCGA.06.0158	3.06704681723173e-05	-1.85403152429349e-05
TCGA.06.0165	-8.94990813847338e-06	-2.26092783781007e-05
TCGA.06.0166	-1.24907639948289e-05	2.24529780491074e-05
TCGA.06.0168	-4.73956423469222e-06	2.95544510581471e-05
TCGA.06.0169	7.18776978963107e-07	-1.32138628430893e-05
TCGA.06.0173	3.02302853401285e-05	-1.70109428796341e-05
TCGA.06.0174	2.56393159400056e-05	-1.36433277657996e-05
TCGA.06.0178	-6.70897176513179e-06	-1.92505941921729e-05
TCGA.06.0184	-3.31106690043369e-05	2.55107672369367e-05
TCGA.06.0185	3.54036967537797e-05	6.35609980844005e-07
TCGA.06.0188	-3.40477167207957e-05	4.07586945096058e-05
TCGA.06.0189	-1.77468278039045e-05	-1.14434149272299e-05
TCGA.06.0192	1.51831592747132e-05	3.03787478884358e-05
