x	y
TCGA.E1.5319.01	2.17581107373634e-05	1.16420855992071e-06
TCGA.HT.7693.01	-1.38995791027221e-05	-7.57175354013729e-06
TCGA.CS.6665.01	-2.78321506361096e-05	1.88635496425774e-06
TCGA.S9.A7J2.01	2.18022961814097e-05	4.82641579120249e-06
TCGA.FG.A6J3.01	-9.20943088195848e-06	-8.74179707687263e-06
TCGA.FG.6688.01	-1.58318188081821e-05	2.31116054588484e-05
TCGA.S9.A6TX.01	2.51383250310625e-05	8.90077918910322e-06
TCGA.VM.A8C8.01	-2.29746013991676e-06	-1.8368298479407e-05
TCGA.HT.A74L.01	1.00909950966624e-05	1.07689479782769e-05
TCGA.DU.A5TS.01	2.64648598561643e-07	-2.31097223052895e-05
TCGA.DB.A4XA.01	2.19574588469565e-05	-1.36545996250401e-06
TCGA.HT.A4DV.01	2.12171303177488e-05	7.42099392839887e-07
TCGA.TQ.A7RP.01	-2.04670845277266e-05	2.95884448700637e-05
TCGA.E1.5311.01	2.18704287778686e-05	4.41500235895749e-06
TCGA.E1.A7YI.01	-1.4344870448691e-05	-8.40084915459334e-06
TCGA.E1.5305.01	-2.38893882800751e-06	-1.32575068083143e-05
TCGA.F6.A8O4.01	-1.44312596085349e-05	-3.47850395922753e-06
TCGA.HT.8113.01	1.17626102902597e-05	7.28256713273016e-06
TCGA.DH.A66G.01	-8.03834168131196e-06	-1.19772602506534e-05
TCGA.HT.7620.01	1.99358604266308e-05	4.04256106038307e-07
TCGA.P5.A731.01	7.63459311961559e-06	2.70677489353054e-06
TCGA.HT.7480.01	2.52013062443046e-05	3.61405312116674e-06
TCGA.HT.7689.01	-1.14420033183725e-05	-1.43024431377469e-05
TCGA.HT.8109.01	1.99727987651721e-05	-1.0493183248291e-07
TCGA.E1.A7YE.01	-6.79095001701735e-06	-1.75406123705723e-05
TCGA.S9.A7R1.01	1.16685638321899e-05	1.19389444964231e-05
TCGA.FG.A710.01	2.53631711220351e-05	8.54621419564331e-06
TCGA.S9.A7J0.01	-1.84644420897622e-05	5.49777358252788e-06
TCGA.DU.A6S6.01	1.42949015702418e-05	7.12340992802663e-06
TCGA.DU.6392.01	-1.46831262765636e-05	9.18232082793264e-06
TCGA.QH.A6CU.01	1.26750750764393e-05	7.12350783489954e-06
TCGA.HW.7486.01	1.77936782718203e-05	-1.65786221374324e-07
TCGA.FG.7634.01	1.63210931474784e-05	1.65215044571036e-05
TCGA.DU.6407.01	-1.82771460422287e-05	-8.52110688195613e-07
TCGA.S9.A7IX.01	-1.75849159464744e-05	2.39431515896129e-05
TCGA.HT.8010.01	1.78226105964114e-05	8.77454865479365e-07
TCGA.P5.A5F1.01	-1.28286423006891e-05	-8.34955266361441e-06
TCGA.VM.A8CF.01	-1.58198828383561e-05	-1.24308442020667e-05
TCGA.DU.6542.01	-2.98731979126841e-06	-1.16531549902422e-05
TCGA.FG.7638.01	2.28757919795525e-05	1.53700684079467e-06
TCGA.VW.A8FI.01	-1.66352619832399e-05	1.94405108165922e-05
TCGA.DH.5143.01	-5.62432651590931e-06	-6.54946871102484e-06
TCGA.DU.7299.01	-4.66321832673428e-06	-8.82977487595522e-06
TCGA.DU.7013.01	-1.68037000675449e-05	1.56573838184599e-05
TCGA.DU.7011.01	-1.31490494862834e-05	-4.76397586218639e-08
TCGA.TM.A84Q.01	-3.30367635069978e-07	-1.73648452510566e-05
TCGA.DB.5281.01	-6.88651209111561e-06	-1.21180755296668e-05
TCGA.S9.A6WI.01	1.85973117320179e-05	-5.83980651319082e-06
TCGA.HT.7605.01	1.83952744874796e-05	4.15106739285758e-06
TCGA.E1.A7YK.01	-1.87355720771423e-06	-2.71019933357126e-05
TCGA.S9.A6WQ.01	-5.85012498097705e-07	-1.15890558527181e-05
TCGA.HT.8106.01	-7.13278794802579e-06	-1.68012603342813e-05
TCGA.HT.7608.01	2.40715945537198e-05	7.9693423613988e-06
TCGA.E1.A7YU.01	-3.51272497379579e-06	-1.00527443810328e-05
TCGA.W9.A837.01	1.82769912171926e-05	4.71311238964416e-06
TCGA.TM.A7C5.01	2.43191515474001e-05	-1.3832801972138e-06
TCGA.S9.A7QY.01	1.55417239065003e-05	1.10432830890577e-05
TCGA.QH.A6CW.01	-8.23195008624214e-06	-1.61960893640934e-05
TCGA.S9.A6WO.01	-1.25629162112721e-05	-5.90898370184619e-06
TCGA.IK.7675.01	-1.34155944392973e-05	-1.33573786105316e-05
TCGA.HT.7601.01	-2.42467124463367e-06	-1.03752998828835e-05
TCGA.P5.A5ET.01	2.00570355461024e-05	4.07027052801954e-06
TCGA.S9.A6U1.01	-3.0508798518965e-06	-8.91636693484472e-06
TCGA.HT.7472.01	-1.17424747388856e-06	-1.546316650331e-05
TCGA.HT.7880.01	-8.04018549106952e-06	-1.02947081365241e-05
TCGA.E1.A7Z3.01	-1.52119899933147e-05	-5.45994764761588e-06
TCGA.P5.A77X.01	2.41300801476721e-05	1.18324179174563e-06
TCGA.FG.A6IZ.01	2.28936275884169e-05	-2.0227201180611e-06
TCGA.FG.8189.01	1.08543784057527e-05	8.47906474128993e-06
TCGA.HT.7873.01	-1.19744421825531e-05	-1.51824161130162e-05
TCGA.CS.4938.01	-1.27951506740086e-05	-6.20202174212226e-06
TCGA.KT.A74X.01	2.15820710346102e-05	-1.61613451925775e-06
TCGA.P5.A5EX.01	1.8528413344638e-05	-5.37327232395142e-07
TCGA.VM.A8CH.01	-3.81771096263086e-06	-5.22309339177246e-06
TCGA.HT.7476.01	-1.44232977364837e-05	-4.88949086548737e-06
TCGA.DB.A75L.01	-8.50562162286746e-07	-1.65346841660904e-06
TCGA.HT.8563.01	-4.15715980473336e-06	-1.85493218815703e-05
TCGA.HT.7609.01	-3.28720178819897e-06	-9.27766215711305e-06
TCGA.RY.A843.01	-9.34366035484113e-07	-1.47456366094602e-07
TCGA.S9.A7IS.01	-2.2495187242755e-06	-1.3471699438441e-05
TCGA.VV.A86M.01	-7.37201535461559e-06	-6.60712953064144e-06
TCGA.S9.A6U0.01	-1.47170070555266e-05	2.38070796046361e-05
TCGA.FG.7643.01	-2.16827237756557e-05	2.59448757352932e-05
TCGA.DB.5274.01	2.56708582601876e-05	6.72544681830928e-06
TCGA.TQ.A7RG.01	1.94545259164178e-05	3.88783825140566e-06
TCGA.QH.A6X5.01	2.11566157291766e-05	7.22058676887553e-07
TCGA.DU.6403.01	-1.50053281765463e-05	2.30066506510991e-05
TCGA.RY.A847.01	2.0142955228069e-05	-1.2970532906614e-06
TCGA.DB.A4XG.01	1.89957139697224e-05	1.11592510119589e-05
TCGA.VM.A8CA.01	2.37279242495183e-05	9.73521584561997e-06
TCGA.HT.7855.01	-1.0987720856135e-05	-1.36976626347606e-05
TCGA.S9.A89Z.01	-7.23652700541227e-06	-9.7261908769678e-06
TCGA.DU.8166.01	-1.23839563152441e-05	-3.94641037352157e-06
TCGA.DH.A7UT.01	-1.03633918558914e-05	7.91423861058204e-07
TCGA.DU.7015.01	-1.38144237101747e-05	-1.93928011078806e-06
TCGA.HT.A616.01	-9.37815378711016e-06	-1.27691660604371e-06
TCGA.FG.8181.01	-3.04072737916279e-06	5.26177849239196e-06
TCGA.HT.7611.01	-8.80211020556258e-06	-1.24389546680955e-05
TCGA.HT.A74K.01	1.56494106077962e-05	8.87617483628933e-06
TCGA.FG.A60K.01	2.2408424284591e-05	4.73349673451378e-06
TCGA.HT.7856.01	1.50174998825674e-05	3.78665571385694e-06
TCGA.FG.5963.01	-1.62622036093111e-05	-5.57935794008502e-06
TCGA.DU.5851.01	-4.00104556829321e-06	-1.36993429066471e-05
TCGA.DU.A7T6.01	1.93482849378056e-05	-5.26020504369583e-06
TCGA.S9.A6TY.01	1.35865939895732e-05	1.86690959436731e-05
TCGA.CS.5395.01	-2.14259633607919e-05	2.94605288250507e-05
TCGA.DU.7292.01	-1.57701502305044e-05	2.10083380649441e-05
TCGA.HT.A5RC.01	-1.44319395010147e-05	2.8887358307735e-05
TCGA.TQ.A7RR.01	-1.06469452629058e-05	-1.89148860043981e-05
