variable	class	category	subcategory	entity.count	feature.count	entity.type	feature.type	minValue	maxValue	provenance
mtx.cn.RData	mtx.cn	matrix	copy number	gistic scores	501	22184	patient	gene	-2	2	tcga
events.RData	history	list	history	clinical	5235	NA	NA	NA	NA	NA	tcga
ptHistory.RData	ptList	list	history	clinical patients	495	NA	NA	NA	NA	NA	tcga
historyTypes.RData	catList	list	history	clinical categories	12	NA	NA	NA	NA	NA	tcga
tbl.ptHistory.RData	tbl.ptHistory	data.frame	history	clinical table	495	350	patients	events	NA	NA	tcga
mtx.mut.RData	mtx.mut	matrix	mutations	aa substitutions	178	13511	patient	gene	NA	NA	tcga
mtx.prot.RData	mtx.prot	matrix	protein abundance	Z scores	195	174	patient	protein	-5.3968291	9.0853221	tcga
mtx.methHM450.RData	mtx.meth	matrix	methylation	beta values	359	16350	patient	gene	0.004365384	0.995690633	tcga
mtx.methHM27.RData	mtx.meth	matrix	methylation	beta values	133	1645	patient	gene	0.005379396	0.992718453	tcga
mtx.mrna_Agi.RData	mtx.mrna	matrix	mRNA expression	ratios	154	17212	patient	gene	-23.7169	47.0682	tcga
mtx.mrna_U133.RData	mtx.mrna	matrix	mRNA expression	ratios	133	11878	patient	gene	-9.9347	61.9539	tcga
mtx.mrna_Seq.RData	mtx.mrna_Seq	matrix	mRNA expression	ratios	501	20444	patient	gene	-4.6334	22958.0168	tcga
genesets.RData	genesets	list	geneset	NA	3	NA	gene	NA	NA	NA	marker.genes.545, tcga.GBM.classifiers, tcga.pancan.mutated
gbmPathways.json.RData	g.gbmPathways.json	character	network	GBM-related Pathways	156	203	nodes	edges	NA	NA	manual curation by Hamid Bolouri
egfr.json.RData	g.egfr.json	character	network	egfr signaling	32	14	nodes	edges	NA	NA	manual curation
markers.json.RData	g.markers.json	character	network	markers & samples	1347	13131	nodes	edges	NA	NA	TCGA
