x	y
TCGA.2A.A8VL.01	-2.46510061878124e-05	-3.97995478849502e-05
TCGA.2A.A8VO.01	-4.12179761703756e-06	-6.19314352609565e-05
TCGA.2A.A8VT.01	-0.00012655784457478	0.000141066298108528
TCGA.2A.A8VV.01	-1.86201554305828e-05	-3.60405405075996e-05
TCGA.2A.A8VX.01	3.03345895120321e-05	-1.22242288744841e-05
TCGA.2A.A8W1.01	2.52216568824642e-05	-1.76096637295013e-05
TCGA.2A.A8W3.01	-1.44440845662138e-05	-3.84861366973586e-05
TCGA.CH.5737.01	2.02312219746195e-05	3.62977313527673e-06
TCGA.CH.5738.01	-6.89702498908146e-06	-4.33221731249466e-05
TCGA.CH.5739.01	-1.02428706027486e-05	-2.98263121696166e-05
TCGA.CH.5740.01	-1.80148719312188e-05	-3.908132975266e-05
TCGA.CH.5741.01	-1.58523438009207e-05	-3.41548927793821e-05
TCGA.CH.5743.01	-6.89702498908146e-06	-4.33221731249466e-05
TCGA.CH.5744.01	-1.24858096464276e-05	-4.09066027802015e-05
TCGA.CH.5746.01	-9.57448462078811e-06	-4.66115251346201e-05
TCGA.CH.5748.01	1.22291574076318e-06	-2.79643700017611e-05
TCGA.CH.5750.01	-9.73576050009661e-06	-4.50895285233873e-05
TCGA.CH.5751.01	-5.21368481562727e-06	2.26218149580033e-05
TCGA.CH.5752.01	-4.6419783956462e-06	-2.44559176451983e-05
TCGA.CH.5753.01	-2.11718408648487e-05	-2.89776295013022e-05
TCGA.CH.5754.01	-9.24327575671903e-06	-1.80966877060639e-05
TCGA.CH.5761.01	-0.000114635415856309	0.000139826295937816
TCGA.CH.5762.01	-1.48310022324041e-05	-7.90267585260424e-06
TCGA.CH.5763.01	-6.89702498908149e-06	-4.33221731249466e-05
TCGA.CH.5764.01	-1.81126117028768e-05	-4.29771920797323e-05
TCGA.CH.5765.01	-4.9256200875093e-06	-3.87280114560017e-05
TCGA.CH.5766.01	-8.32089654257378e-06	-2.61962686080169e-05
TCGA.CH.5767.01	1.05239680202398e-05	-2.95375962179633e-05
TCGA.CH.5768.01	5.49994149756449e-06	-9.78529458262728e-06
TCGA.CH.5769.01	-1.20477338374798e-05	-4.01894891313098e-05
TCGA.CH.5771.01	7.32351851066805e-06	-5.01195383108209e-06
TCGA.CH.5772.01	-3.49980616553205e-07	-1.87931716091771e-05
TCGA.CH.5788.01	0.000177113101880868	8.02323279571993e-05
TCGA.CH.5789.01	-6.89702498908147e-06	-4.33221731249466e-05
TCGA.CH.5790.01	-2.20648634775456e-05	-3.78730791211277e-05
TCGA.CH.5791.01	-1.0587384186592e-05	-5.34482302492398e-06
TCGA.CH.5792.01	1.07778418507925e-05	-1.8511082336867e-05
TCGA.CH.5794.01	-2.1643683246499e-05	-3.5262023761058e-05
TCGA.EJ.5494.01	3.806344083548e-05	-5.13656980046405e-06
TCGA.EJ.5495.01	-1.38127345151862e-05	-3.29204200715346e-05
TCGA.EJ.5496.01	-1.76127789006339e-05	-3.43722660669267e-05
TCGA.EJ.5497.01	-1.32452304686189e-05	-4.53963800109649e-05
TCGA.EJ.5498.01	-7.53495485876856e-06	-4.26035225722785e-05
TCGA.EJ.5499.01	-1.38789732650473e-05	-2.86811409937166e-05
TCGA.EJ.5501.01	-3.80547195096281e-06	-3.35063781997506e-05
TCGA.EJ.5502.01	-6.89702498908148e-06	-4.33221731249466e-05
TCGA.EJ.5503.01	-6.89702498908148e-06	-4.33221731249466e-05
TCGA.EJ.5504.01	2.13878541507396e-06	-2.35327008501701e-05
