Histology	Bucket	Grade
chondrosarcoma	Other Brain Tumors	Not Applicable
chordoma	Other Brain Tumors	Not Applicable
hemangioblastoma	Other Brain Tumors	G1
high-grade neuroepithelial tumor	Other Brain Tumors	G3/4
low-grade neuroepithelial tumor	Other Brain Tumors	G1/2
malignant lymphoma	Other Brain Tumors	Not Applicable
malignant tumor	Other Brain Tumors	Not Applicable
primary brain tumor	Other Brain Tumors	Varies
primary neuroepithelial tumor	Other Brain Tumors	Varies
atypical choroid plexus papilloma	Choriod Plexus Tumors	G2
choroid plexus carcinoma	Choriod Plexus Tumors	G3
choroid plexus papilloma	Choriod Plexus Tumors	G2
atypical teratoid/rhabdoid tumor (atrt)	Embryonal Tumors	G4
desmoplastic/nodular medulloblastoma	Embryonal Tumors	G4
ependymoblastoma	Embryonal Tumors	G4
large cell/anaplastic medulloblastoma	Embryonal Tumors	G4
medulloblastoma	Embryonal Tumors	G4
medulloblastoma with extensive nodularity	Embryonal Tumors	G4
medulloepithelioma	Embryonal Tumors	G4
medullomyoblastoma	Embryonal Tumors	G4
melanotic medulloblastoma	Embryonal Tumors	G4
primitive neuroectodermal tumor (pnet)	Embryonal Tumors	G4
anaplastic ependymoma	Ependymal Tumors	G3
clear cell ependymoma	Ependymal Tumors	G2
ependymoma	Ependymal Tumors	G2
myxopapillary ependymoma	Ependymal Tumors	G1
subependymoma	Ependymal Tumors	G1
choriocarcinoma	Germ Cell Tumors	Not Applicable
embryonal carcinoma	Germ Cell Tumors	Not Applicable
germinoma	Germ Cell Tumors	Not Applicable
mixed germ cell tumor	Germ Cell Tumors	Not Applicable
"teratoma, immature"	Germ Cell Tumors	Not Applicable
"teratoma, malignant"	Germ Cell Tumors	Not Applicable
"teratoma, mature"	Germ Cell Tumors	Not Applicable
yolk sac tumor	Germ Cell Tumors	Not Applicable
"glioma, nos (grade varies)"	Glioma	Varies
anaplastic astrocytoma	High Grade Gliomas	G3
anaplastic oligoastrocytoma	High Grade Gliomas	G3
anaplastic oligodendroglioma	High Grade Gliomas	G3
glioblastoma	High Grade Gliomas	G4
