Common.Names	Standardized.Names	COMMON.NAMES	STANDARDIZED.NAMES
Panzem	2-methoxyestradiol	PANZEM	2-METHOXYESTRADIOL
6 Thiguanine	6 Thioguanine	6 THIGUANINE	6 THIOGUANINE
6 Thioguanine	6 Thioguanine	6 THIOGUANINE	6 THIOGUANINE
6-Mercaptopurine	6-Mercaptopurine	6-MERCAPTOPURINE	6-MERCAPTOPURINE
81c6	81c6	81C6	81C6
81C6	81c6	CH81C6	81C6
ch81c6	81c6	I131-81C6	81C6
I131-81C6	81c6	MU81C6	81C6
mu81c6	81c6	9 AMINOCAMPTOTHECIN	9-AMINOCAMPTOTHECIN
MU81C6	81c6	9 IMMUNOAMINO CAMPTNETECIN	9-AMINOCAMPTOTHECIN
9 Aminocamptothecin	9-Aminocamptothecin	9AC 9 AMINOCAMPLOTECIAN	9-AMINOCAMPTOTHECIN
9 immunoamino camptnetecin	9-Aminocamptothecin	A4QN	A4QN
9AC 9 Aminocamplotecian	9-Aminocamptothecin	ABIRATERONE	ABIRATERONE ACETATE
A4QN	A4QN	EMD	ABITUZUMAB
Abiraterone	Abiraterone acetate	ALBUMIN-BOUND PACLITAXEL	ABRAXANE
EMD	Abituzumab	ABT-888	ABT-888
Albumin-Bound Paclitaxel	Abraxane	ABT-888 PARP INHIBITOR	ABT-888
ABT-888	ABT-888	ACCTUANE	ACCUTANE
ABT-888 Parp Inhibitor	ABT-888	ISOTRECTINOIN (ACCCUTANE)	ACCUTANE
Acctuane	Accutane	ISOTRETINOIN	ACCUTANE
Isotrectinoin (acccutane)	Accutane	ADRIAMICIN	ADRIAMYCIN
Isotretinoin	Accutane	ADRIAMYCIN	ADRIAMYCIN
adriamicin	Adriamycin	"ADRIAMYCIN, CYTOXAN, AVASTIN"	ADRIAMYCIN/CYTOXAN/AVASTIN
Adriamycin	Adriamycin	ADRIAMYCIN+CUCLOPHOSPHAMIDE	ADRIAMYCIN/CYCLOPHOSPHAMIDE
ADRIAMYCIN	Adriamycin	ADRIAMYCIN+CYCLOPHOSPHAMID	ADRIAMYCIN/CYCLOPHOSPHAMIDE
adriamycin	Adriamycin	ADRIAMYCIN+CYCLOPHOSPHAMIDE	ADRIAMYCIN/CYCLOPHOSPHAMIDE
"Adriamycin, cytoxan, avastin"	Adriamycin/Cytoxan/Avastin	ADRIAMYICIN	ADRIAMYICIN
adriamycin+cuclophosphamide	Adriamycin/Cyclophosphamide	ADRIMICIN+CYCLOPHOSPHAMIDE	ADRIAMYCIN/CYCLOPHOSPHAMIDE
adriamycin+cyclophosphamid	Adriamycin/Cyclophosphamide	ADRIMYCIN	ADRIMYCIN
adriamycin+cyclophosphamide	Adriamycin/Cyclophosphamide	ADRIMYCIN+CYCLOPHOSPHAMIDE	ADRIAMYCIN/CYCLOPHOSPHAMIDE
Adriamyicin	Adriamyicin	AE 788	AE 788
adrimicin+cyclophosphamide	Adriamycin/Cyclophosphamide	AE-37	AE-37
Adrimycin	Adrimycin	ALIMTA	ALIMTA
adrimycin+cyclophosphamide	Adriamycin/Cyclophosphamide	ALMITA	ALIMTA
AE 788	AE 788	PEMETHEXED	ALIMTA
AE-37	AE-37	PEMETREXED	ALIMTA
Alimta	Alimta	PEMETREXED DISODIUM	ALIMTA
alimta	Alimta	AMG 102	AMG 102
ALIMTA	Alimta	STUDY DRUG AMG 655	AMG 655
Almita	Alimta	ANASTRAZOLE	ANASTROZOLE
almita	Alimta	ANASTROZOLE	ANASTROZOLE
Pemethexed	Alimta	ANASTROZOLE (ARIMIDEX)	ANASTROZOLE
Pemetrexed	Alimta	ANASTROZOLUM	ANASTROZOLE
pemetrexed	Alimta	ARIMIDEX	ANASTROZOLE
Pemetrexed disodium	Alimta	ARIMIDEX (ANASTROZOLE)	ANASTROZOLE
pemetrexed disodium	Alimta	ANTI NECPLATENS	ANTI NECPLATENS
AMG 102	AMG 102	ANTI NEOPASTONS	ANTI NECPLATENS
Study drug AMG 655	AMG 655	ARSENIC TNOXIDE	ARSENIC TRIOXIDE
Anastrazole	Anastrozole	ARSENIC TRIOXIDE	ARSENIC TRIOXIDE
Anastrozole	Anastrozole	ARSENIC TRIOXIDE (ATO)	ARSENIC TRIOXIDE
ANASTROZOLE	Anastrozole	AT 101	AT-101
ANASTROZOLE (ARIMIDEX)	Anastrozole	AT-101	AT-101
anastrozolum	Anastrozole	ATTAC	ATTAC
arimidex	Anastrozole	B12	B12
Arimidex	Anastrozole	BELINOSTAT	BELINOSTAT
ARIMIDEX	Anastrozole	AVASTIN	BEVACIZUMAB
ARIMIDEX (ANASTROZOLE)	Anastrozole	BEVACIZUMAB	BEVACIZUMAB
Arimidex (Anastrozole)	Anastrozole	BEVACIZUMAB (AVASTIN)/PLACEBO PROVIDED BY STUDY	BEVACIZUMAB
Anti necplatens	Anti necplatens	BEVACIZUMAB AVASTIN	BEVACIZUMAB
anti neopastons	Anti necplatens	BEVACIZUMAB OR PLACEBO	BEVACIZUMAB
Arsenic Tnoxide	Arsenic Trioxide	BEVACIZUMAB OR PLACEBO RTOG 0825	BEVACIZUMAB
Arsenic Trioxide	Arsenic Trioxide	BEVACOZIMAB	BEVACIZUMAB
Arsenic Trioxide (ATO)	Arsenic Trioxide	BEVCIZUMAB	BEVACIZUMAB
AT 101	AT-101	BIBW 2992	BIBW 2992
AT-101	AT-101	BIBW2992	BIBW 2992
ATTAC	ATTAC	BICALUTAMID	BICALUTAMIDE
B12	B12	BICALUTAMIDE	BICALUTAMIDE
Belinostat	Belinostat	CASODEX	BICALUTAMIDE
Avastin	Bevacizumab	BROMO DEOXYURIDINE	BROMODEOXYURIDINE
avastin	Bevacizumab	BS1-201	BSI-201
Bevacizumab	Bevacizumab	BSI-201	BSI-201
BEVACIZUMAB	Bevacizumab	CABAZITAXEL	CABAZITAXEL
bevacizumab	Bevacizumab	CABOZANTINIB	CABOZANTINIB
BEVACIZUMAB (AVASTIN)/PLACEBO PROVIDED BY STUDY	Bevacizumab	CAI (NABTT 9712)	CAI NABTT 9712
Bevacizumab Avastin	Bevacizumab	CAI (NABTT 97212)	CAI NABTT 9712
Bevacizumab or Placebo	Bevacizumab	CAI NABIT 9712	CAI NABTT 9712
Bevacizumab or placebo RTOG 0825	Bevacizumab	CARBOPLATIN	CARBOPLATIN
Bevacozimab	Bevacizumab	CARBOPLATIN 5 AUC	CARBOPLATIN
Bevcizumab	Bevacizumab	CARBOPLATINE	CARBOPLATIN
BIBW 2992	BIBW 2992	CARBOPLATINUM	CARBOPLATIN
BIBW2992	BIBW 2992	PARAPLATIN	CARBOPLATIN
Bicalutamid	Bicalutamide	CARBOXY AMIDO TRIAZOLE	CARBOXYAMIDOTRIAZOLE
Bicalutamide	Bicalutamide	CARMUSTIN	CARMUSTINE
Casodex	Bicalutamide	CARMUSTINE	CARMUSTINE
casodex	Bicalutamide	CARMUSTINE (BCNU)	CARMUSTINE
Bromo deoxyuridine	Bromodeoxyuridine	CARMUSTINE BCNU	CARMUSTINE
BS1-201	BSI-201	CAV TRIAL	CAV TRIAL
BSI-201	BSI-201	CEDICANIB	CEDICANIB
cabazitaxel	Cabazitaxel	AZD	CEDIRANIB
Cabazitaxel	Cabazitaxel	CEDIRANIB/PLACEBO	CEDIRANIB/PLACEBO
Cabozantinib	Cabozantinib	CELBREX	CELEBREX
CAI (NABTT 9712)	CAI NABTT 9712	CELEBREX	CELEBREX
CAI (NABTT 97212)	CAI NABTT 9712	CETUXIMAB	CETUXIMAB
CAI NABIT 9712	CAI NABTT 9712	CETUXIMAB STUDY DRUG	CETUXIMAB
Carboplatin	Carboplatin	CETUXIMEB	CETUXIMAB
CARBOPLATIN	Carboplatin	CETUXINAB	CETUXIMAB
carboplatin	Carboplatin	ERBITUX	CETUXIMAB
CARBOplatin	Carboplatin	CHLOROQUINE	CHLOROQUINE
Carboplatin 5 AUC	Carboplatin	CI 980	CI-980
Carboplatine	Carboplatin	CI-980	CI-980
Carboplatinum	Carboplatin	CI980	CI-980
carboplatinum	Carboplatin	CILENAITIDE	CILENGITIDE
Paraplatin	Carboplatin	CILENGITIDE	CILENGITIDE
PARAPLATIN	Carboplatin	CILENGTIDE	CILENGITIDE
Carboxy amido triazole	Carboxyamidotriazole	CISPLASTIN	CISPLATIN
Carmustin	Carmustine	CISPLATAIN	CISPLATIN
Carmustine	Carmustine	CISPLATIN	CISPLATIN
Carmustine (BCNU)	Carmustine	CISPLATINUM	CISPLATIN
Carmustine BCNU	Carmustine	CLODRONATE	CLODRONATE
CAV Trial	CAV Trial	CLODRONIC ACID	CLODRONATE
Cedicanib	Cedicanib	CLORETAZINE	CLORETAZINE
AZD	Cediranib	CPT 11	CPT-11
Cediranib/Placebo	Cediranib/Placebo	CPT-11	CPT-11
Celbrex	Celebrex	CPT11	CPT-11
Celebrex	Celebrex	CIS RETINOIC ACID	CRA
Cetuximab	Cetuximab	CIS-RETINOIC ACID	CRA
cetuximab	Cetuximab	CRA	CRA
Cetuximab Study drug	Cetuximab	REINOID/CIS RETINOIC ACID	CRA
Cetuximeb	Cetuximab	CYCLOPHASPHAMIDE	CYCLOPHASPHAMIDE
Cetuxinab	Cetuximab	CYCLOPHOSPAMIDE	CYCLOPHASPHAMIDE
Erbitux	Cetuximab	CYCLOPHOSPHAMID	CYCLOPHASPHAMIDE
ERBITUX	Cetuximab	CYCLOPHOSPHAMIDE	CYCLOPHASPHAMIDE
erbitux	Cetuximab	CYCLOPHOSPHAMIDE+METHOTREXATUM+FLUOROURACILLUM	CYCLOPHASPHAMIDE/METHOTREXATUM/FLUOROURACIL
Chloroquine	Chloroquine	CYCLOPHOSPHAMIDUM	CYCLOPHASPHAMIDE
CI 980	CI-980	CYCLOPHOSPHANE	CYCLOPHASPHAMIDE
CI-980	CI-980	CYOTXAN	CYTOXAN
CI980	CI-980	CYTOXAN	CYTOXAN
Cilenaitide	Cilengitide	CYTOXAN AND TAXOTERE	CYTOXAN
Cilengitide	Cilengitide	CYTOXEN	CYTOXAN
Cilengtide	Cilengitide	DACLIZUMAB	DACLIZUMAB
Cisplastin	Cisplatin	DC VAX (DENDRITIC CELL VACCINE)	DCVAX
Cisplatain	Cisplatin	DCVAX	DCVAX
Cisplatin	Cisplatin	DENDRITIC CELL VACCINE (DCVAX)	DCVAX
cisplatin	Cisplatin	DENDRITICCELL VACCINE	DCVAX
CISPLATIN	Cisplatin	FIRMAGON	DEGARELIX
CISplatinum	Cisplatin	DEXAETHASONE	DEXAMETHASONE
clodronate	Clodronate	DEXAMETHASOME	DEXAMETHASONE
Clodronate	Clodronate	DEXAMETHASONE	DEXAMETHASONE
clodronic acid	Clodronate	DEXAMETHAZONE	DEXAMETHASONE
Cloretazine	Cloretazine	DEXAMETHSONE	DEXAMETHASONE
CPT 11	CPT-11	DEXAMTHASONE	DEXAMETHASONE
CPT-11	CPT-11	DEXMETHASONE	DEXAMETHASONE
cpt-11	CPT-11	DOCETAXEL	DOCETAXEL
CPT11	CPT-11	DOCETOXEL/TAXOTERE	DOCETAXEL
Cis Retinoic Acid	CRA	DOXETAXEL	DOCETAXEL
CIS Retinoic Acid	CRA	DOXETAXOL	DOCETAXEL
cis retinoic acid	CRA	TAXOTERE	DOCETAXEL
Cis-retinoic acid	CRA	AC	DOXORUBICIN/CYCLOPHOSPHAMIDE
CRA	CRA	ACT PEP3 KLH	DOXORUBICIN/CYCLOPHOSPHAMIDE/TAXOL/TAXOTERE/PEP3-KLH
Reinoid/CIS retinoic acid	CRA	DOXORUBICIN	DOXORUBICIN
Cyclophasphamide	Cyclophasphamide	DOXORUBICIN HCL	DOXORUBICIN
Cyclophospamide	Cyclophasphamide	DOXORUBICINE	DOXORUBICIN
cyclophosphamid	Cyclophasphamide	DOXORUBICINUM	DOXORUBICIN
Cyclophosphamide	Cyclophasphamide	DOXIL	DOXORUBICIN LIPOSOMAL
CYCLOPHOSPHAMIDE	Cyclophasphamide	DOXORUBICIN LIPOSOME	DOXORUBICIN LIPOSOMAL
cyclophosphamide	Cyclophasphamide	DOXORUBICIN+ CYCLOPHOSPHAMIDE	DOXORUBICIN LIPOSOMAL/CYCLOPHOSPHAMIDE
cyclophosphamide+methotrexatum+fluorouracillum	Cyclophasphamide/Methotrexatum/Fluorouracil	DOXORUBICIN+CYCLOPHOSPHAMID	DOXORUBICIN LIPOSOMAL/CYCLOPHOSPHAMIDE
cyclophosphamidum	Cyclophasphamide	DOXORUBICINE CYCLOPHOSPHAMIDE TAMOXIFEN	DOXORUBICIN LIPOSOMAL/CYCLOPHOSPHAMIDE/TAMOXIFEN
Cyclophosphane	Cyclophasphamide	DOXORUBICINE+CYCLOPHOSPHAMIDE	DOXORUBICIN LIPOSOMAL/CYCLOPHOSPHAMIDE
Cyotxan	Cytoxan	DOXORUBICINE+CYCLOPHOSPHAMIDE+TAMOXIFEN	DOXORUBICIN LIPOSOMAL/CYCLOPHOSPHAMIDE/TAMOXIFEN
Cytoxan	Cytoxan	E-75	E-75
CYTOXAN	Cytoxan	ENZASTAURIN	ENZASTAURIN
cytoxan	Cytoxan	EPIRUBICIN	EPIRUBICIN
Cytoxan and Taxotere	Cytoxan	EPIRUBICOIN	EPIRUBICIN
Cytoxen	Cytoxan	ERIBULIN	ERIBULIN
Daclizumab	Daclizumab	ERLOTINIB	ERLOTINI
dc Vax (Dendritic Cell Vaccine)	dcVax	ERLOTINIB (TARCEVA)	ERLOTINI
dcVax	dcVax	ERLOTONIB	ERLOTINI
Dendritic Cell Vaccine (dcvax)	dcVax	TANCEVA	ERLOTINIB
Dendriticcell Vaccine	dcVax	TARCEVA	ERLOTINIB
Firmagon	Degarelix	TARCEVA (ERLOTINIB)	ERLOTINIB
Dexaethasone	Dexamethasone	TARCEVA/ERLOTINIB	ERLOTINIB
Dexamethasome	Dexamethasone	TARVECA	ERLOTINIB
Dexamethasone	Dexamethasone	OS1-774	ERLOTINIB HYDROCHLORIDE 
Dexamethazone	Dexamethasone	ESTRAMUSTINE	ESTRAMUSTINE
Dexamethsone	Dexamethasone	ETOPOSIDE	ETOPOSIDE
Dexamthasone	Dexamethasone	ETOPOSIDE (VP-16)	ETOPOSIDE
Dexmethasone	Dexamethasone	EVEROLIMUS	EVEROLIMUS
Docetaxel	Docetaxel	RAD001	EVEROLIMUS
DOCETAXEL	Docetaxel	AROMASIN	EXEMESTANE
docetaxel	Docetaxel	AROMASIN (EXEMESTANE)	EXEMESTANE
Docetoxel/Taxotere	Docetaxel	AROMATASE EXEMESTANE	EXEMESTANE
Doxetaxel	Docetaxel	EXEMESTANE	EXEMESTANE
Doxetaxol	Docetaxel	EXEMESTANE (AROMASIN)	EXEMESTANE
TAXOTERE	Docetaxel	FENRETINIDE	FENRETINIDE
Taxotere	Docetaxel	FLOUROURACIL	FLOUROURACIL
taxotere	Docetaxel	FLOXURIDINE	FLOXURIDINE
ac	Doxorubicin/Cyclophosphamide	FUDR (FLOXURIDINE)	FLOXURIDINE
ACT PEP3 KLH	Doxorubicin/Cyclophosphamide/Taxol/Taxotere/PEP3-KLH	5 FLUOROURACIL	FLUOROURACIL
Doxorubicin	Doxorubicin	5 FU	FLUOROURACIL
DOXORUBICIN	Doxorubicin	5- FU	FLUOROURACIL
doxorubicin	Doxorubicin	5-FLOUROURACIL	FLUOROURACIL
doxorubicin HCL	Doxorubicin	5-FLUOROURACIL	FLUOROURACIL
doxorubicine	Doxorubicin	5-FLUORUORACIL	FLUOROURACIL
Doxorubicinum	Doxorubicin	5-FU	FLUOROURACIL
Doxil	Doxorubicin Liposomal	5FU	FLUOROURACIL
Doxorubicin Liposome	Doxorubicin Liposomal	FLUOROURACIL	FLUOROURACIL
doxorubicin+ cyclophosphamide	Doxorubicin Liposomal/Cyclophosphamide	FLUOROURACIL IV CONTINUOUS INFUSION OVER 46 HOURS	FLUOROURACIL
doxorubicin+cyclophosphamid	Doxorubicin Liposomal/Cyclophosphamide	FOTEMUSTINA	FOTEMUSTINE
doxorubicine cyclophosphamide tamoxifen	Doxorubicin Liposomal/Cyclophosphamide/Tamoxifen	FOTEMUSTINE	FOTEMUSTINE
doxorubicine+cyclophosphamide	Doxorubicin Liposomal/Cyclophosphamide	FT	FT
doxorubicine+cyclophosphamide+tamoxifen	Doxorubicin Liposomal/Cyclophosphamide/Tamoxifen	FASLODEX	FULVESTRANT
E-75	E-75	FULVESTRANT	FULVESTRANT
Enzastaurin	Enzastaurin	FULVESTRANT (FASLODEX)	FULVESTRANT
Epirubicin	Epirubicin	GEFITINIB	GEFITINIB
Epirubicoin	Epirubicin	IRESSA	GEFITINIB
Eribulin	Eribulin	GEMCITABINE	GEMZAR
Erlotinib	Erlotini	GEMZAR	GEMZAR
Erlotinib (Tarceva)	Erlotini	GEMZAR (GEMCITABINE)	GEMZAR
Erlotonib	Erlotini	FILGRASTIM (G-CSF)	GILGRASTIM
Tanceva	Erlotinib	GLEEVAC	GLEEVEC
Tarceva	Erlotinib	GLEEVEC	GLEEVEC
TARCEVA	Erlotinib	BCNU	GLIADEL WAFER
Tarceva (Erlotinib)	Erlotinib	BCNU (CARMUSTINE)	GLIADEL WAFER
Tarceva/Erlotinib	Erlotinib	GLIADEL	GLIADEL WAFER
Tarveca	Erlotinib	GLIADEL BCNU	GLIADEL WAFER
OS1-774	Erlotinib Hydrochloride 	GLIADEL WAFER	GLIADEL WAFER
Estramustine	Estramustine	GLIADEL WAFER (BCNU)	GLIADEL WAFER
Etoposide	Etoposide	GLIADEL WAFER CARMUSTINE	GLIADEL WAFER
etoposide (VP-16)	Etoposide	GLIADEL WAFERS	GLIADEL WAFER
Everolimus	Everolimus	GLIADEL WATERS	GLIADEL WAFER
everolimus	Everolimus	GLIADLE WAFER	GLIADEL WAFER
Rad001	Everolimus	GOSERELIN	GOSERELIN
Aromasin	Exemestane	ZOLADEX	GOSERELIN
aromasin	Exemestane	HSC VACCINE INJECTION	HSPPC-96 VACCINE
AROMASIN (EXEMESTANE)	Exemestane	HSPPC-96 VACCINE	HSPPC-96 VACCINE
Aromasin (Exemestane)	Exemestane	HYDROCHOROQUINE	HYDROCHOROQUINE
aromatase exemestane	Exemestane	ABTC 0603 HYDROXYCHLOROQUINE	HYDROXYCHLOROQUINE
Exemestane	Exemestane	HYDOXYUREA	HYDROXYUREA
EXEMESTANE	Exemestane	HYDROXUREA	HYDROXYUREA
EXEMESTANE (AROMASIN)	Exemestane	HYDROXYUEREA	HYDROXYUREA
Fenretinide	Fenretinide	HYDROXYUREA	HYDROXYUREA
FLOUROURACIL	Flourouracil	HYDROYUREA	HYDROXYUREA
Flourouracil	Flourouracil	HYRDROXYUREA	HYDROXYUREA
Floxuridine	Floxuridine	HYROXYUREA	HYDROXYUREA
FUDR (Floxuridine)	Floxuridine	IBANDRONATE	IBANDRONATE
5 fluorouracil	Fluorouracil	ICT-107	ICT-107
