Common.RadType	Standardized.RadType	Common.OtherRadType	Standardized.OtherRadType	COMMON.RADTYPE	STANDARDIZED.RADTYPE	COMMON.OTHERRADTYPE	STANDARDIZED.OTHERRADTYPE
[Not Available]	NA	2 knife	2 Knife                                	[NOT AVAILABLE]	NA	2 KNIFE	2 KNIFE                                
[Unknown]	NA	Brachtherapy	Brachytherapy                          	[UNKNOWN]	NA	BRACHTHERAPY	BRACHYTHERAPY                          
COMBINATION	Combination	Brachytherapy	Brachytherapy                          	COMBINATION	COMBINATION	BRACHYTHERAPY	BRACHYTHERAPY                          
External	External	Brachytherapy (Iridium 192)	Brachytherapy                          	EXTERNAL	EXTERNAL	BRACHYTHERAPY (IRIDIUM 192)	BRACHYTHERAPY                          
EXTERNAL BEAM	External Beam	CYBERKNIFE	Cyber Knife	EXTERNAL BEAM	EXTERNAL BEAM	CYBERKNIFE	CYBER KNIFE
IMPLANTS	Implants	Cyberknife	Cyber Knife	IMPLANTS	IMPLANTS	CYBER KNIFE	CYBER KNIFE                            
Internal	Internal	Cyber Knife	Cyber Knife                            	INTERNAL	INTERNAL	CYBER KNIFE STEREOTACTIC RADIOSURGERY	CYBER KNIFE STEREOTACTIC RADIOSURGERY
OTHER: SPECIFY IN NOTES	Other: Specify in Notes	Cyber Knife Stereotactic Radiosurgery	Cyber Knife Stereotactic Radiosurgery	OTHER: SPECIFY IN NOTES	OTHER: SPECIFY IN NOTES	FRACTIONATED STEREOTACTIC RADIOSUERGERY	FRACTIONATED STEREOTACTIC RADIOSURGERY 
OTHER: SPECIFY IN NOTES IMPLANTS	Other: Specify in Notes	Fractionated Stereotactic Radiosuergery	Fractionated Stereotactic Radiosurgery 	OTHER: SPECIFY IN NOTES IMPLANTS	OTHER: SPECIFY IN NOTES	FRACTIONATED STEREOTACTIC RADIOSURGER	FRACTIONATED STEREOTACTIC RADIOSURGERY 
OTHER: SPECIFY IN NOTES RADIOISOTOPES	Other: Specify in Notes	Fractionated stereotactic radiosurger	Fractionated Stereotactic Radiosurgery 	OTHER: SPECIFY IN NOTES RADIOISOTOPES	OTHER: SPECIFY IN NOTES	FRACTIONATED STEREOTACTIC RADIOSURGERY	FRACTIONATED STEREOTACTIC RADIOSURGERY 
RADIOISOTOPES	Radioisotopes	Fractionated Stereotactic Radiosurgery	Fractionated Stereotactic Radiosurgery 	RADIOISOTOPES	RADIOISOTOPES	FRACTIONATED STEREOTACTIC RADIO THERAPY	FRACTIONATED STEREOTACTIC RADIOTHERAPY 
		Fractionated stereotactic radiosurgery	Fractionated Stereotactic Radiosurgery 			FRACTIONATED STEREOTACTIC RADIOTHERAPY	FRACTIONATED STEREOTACTIC RADIOTHERAPY 
		Fractionated stereotactic radio therapy	Fractionated Stereotactic Radiotherapy 			G-KNIFE	GAMMA KNIFE                            
		Fractionated stereotactic radiotherapy	Fractionated Stereotactic Radiotherapy 			GAMMA KNIFE	GAMMA KNIFE                            
